asset,strategy_name,leverage,trades,wins,losses,liquidations,win_rate,total_r,average_r,profit_factor,max_drawdown_r,total_margin_return_pct,average_margin_return_pct
WLD,council_long,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,council_long,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,liquidity_sweep_reversal,3.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.03790004819003864,0.01895002409501932
ALL,liquidity_sweep_reversal,3.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.03790004819003864,0.01895002409501932
WLD,momentum_continuation,3.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.14237286424761852,-0.07118643212380926
ALL,momentum_continuation,3.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.14237286424761852,-0.07118643212380926
WLD,pullback_reclaim,3.0,6,3,3,0,0.5,7.333333333333334,1.2222222222222223,4.384615384615384,2.166666666666667,0.5344174818903842,0.08906958031506403
ALL,pullback_reclaim,3.0,6,3,3,0,0.5,7.333333333333334,1.2222222222222223,4.384615384615384,2.166666666666667,0.5344174818903842,0.08906958031506403
WLD,range_reclaim,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,vwap_reclaim,3.0,4,1,3,0,0.25,0.16666666666666652,0.04166666666666663,1.0555555555555556,3.0,-0.031989421248412114,-0.007997355312103029
ALL,vwap_reclaim,3.0,4,1,3,0,0.25,0.16666666666666652,0.04166666666666663,1.0555555555555556,3.0,-0.031989421248412114,-0.007997355312103029
WLD,council_long,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,council_long,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,liquidity_sweep_reversal,4.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.050533397586718196,0.025266698793359098
ALL,liquidity_sweep_reversal,4.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.050533397586718196,0.025266698793359098
WLD,momentum_continuation,4.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.18983048566349137,-0.09491524283174568
ALL,momentum_continuation,4.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.18983048566349137,-0.09491524283174568
WLD,pullback_reclaim,4.0,6,3,3,0,0.5,7.333333333333334,1.2222222222222223,4.384615384615384,2.166666666666667,0.7125566425205122,0.11875944042008536
ALL,pullback_reclaim,4.0,6,3,3,0,0.5,7.333333333333334,1.2222222222222223,4.384615384615384,2.166666666666667,0.7125566425205122,0.11875944042008536
WLD,range_reclaim,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,4.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,vwap_reclaim,4.0,4,1,3,0,0.25,0.16666666666666652,0.04166666666666663,1.0555555555555556,3.0,-0.042652561664549477,-0.010663140416137369
ALL,vwap_reclaim,4.0,4,1,3,0,0.25,0.16666666666666652,0.04166666666666663,1.0555555555555556,3.0,-0.042652561664549477,-0.010663140416137369
WLD,council_long,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,council_long,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,liquidity_sweep_reversal,5.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.06316674698339773,0.03158337349169887
ALL,liquidity_sweep_reversal,5.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.06316674698339773,0.03158337349169887
WLD,momentum_continuation,5.0,1,0,1,0,0.0,-1.0,-1.0,0.0,1.0,-0.11393935567451713,-0.11393935567451713
ALL,momentum_continuation,5.0,1,0,1,0,0.0,-1.0,-1.0,0.0,1.0,-0.11393935567451713,-0.11393935567451713
WLD,pullback_reclaim,5.0,6,3,3,0,0.5,7.333333333333334,1.2222222222222223,4.384615384615384,2.166666666666667,0.8906958031506403,0.14844930052510671
ALL,pullback_reclaim,5.0,6,3,3,0,0.5,7.333333333333334,1.2222222222222223,4.384615384615384,2.166666666666667,0.8906958031506403,0.14844930052510671
WLD,range_reclaim,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,vwap_reclaim,5.0,4,1,3,0,0.25,0.16666666666666652,0.04166666666666663,1.0555555555555556,3.0,-0.05331570208068684,-0.01332892552017171
ALL,vwap_reclaim,5.0,4,1,3,0,0.25,0.16666666666666652,0.04166666666666663,1.0555555555555556,3.0,-0.05331570208068684,-0.01332892552017171
WLD,council_long,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,council_long,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,liquidity_sweep_reversal,6.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.07580009638007729,0.03790004819003864
ALL,liquidity_sweep_reversal,6.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.07580009638007729,0.03790004819003864
WLD,momentum_continuation,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,momentum_continuation,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,pullback_reclaim,6.0,5,1,4,0,0.2,-2.220446049250313e-16,-4.4408920985006264e-17,0.9999999999999999,3.166666666666667,0.02656091374136814,0.0053121827482736275
ALL,pullback_reclaim,6.0,5,1,4,0,0.2,-2.220446049250313e-16,-4.4408920985006264e-17,0.9999999999999999,3.166666666666667,0.02656091374136814,0.0053121827482736275
WLD,range_reclaim,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,vwap_reclaim,6.0,4,2,2,0,0.5,2.3333333333333304,0.5833333333333326,2.166666666666665,2.0,0.23849367686490236,0.05962341921622559
ALL,vwap_reclaim,6.0,4,2,2,0,0.5,2.3333333333333304,0.5833333333333326,2.166666666666665,2.0,0.23849367686490236,0.05962341921622559
WLD,council_long,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,council_long,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,liquidity_sweep_reversal,7.0,1,1,0,0,1.0,1.166666666666664,1.166666666666664,1.166666666666664,0.0,0.08843344577675685,0.08843344577675685
ALL,liquidity_sweep_reversal,7.0,1,1,0,0,1.0,1.166666666666664,1.166666666666664,1.166666666666664,0.0,0.08843344577675685,0.08843344577675685
WLD,momentum_continuation,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,momentum_continuation,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,pullback_reclaim,7.0,3,0,3,0,0.0,-2.166666666666667,-0.7222222222222223,0.0,2.166666666666667,-0.21392452955639077,-0.07130817651879692
ALL,pullback_reclaim,7.0,3,0,3,0,0.0,-2.166666666666667,-0.7222222222222223,0.0,2.166666666666667,-0.21392452955639077,-0.07130817651879692
WLD,range_reclaim,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,vwap_reclaim,7.0,4,2,2,0,0.5,2.3333333333333304,0.5833333333333326,2.166666666666665,2.0,0.2782426230090528,0.0695606557522632
ALL,vwap_reclaim,7.0,4,2,2,0,0.5,2.3333333333333304,0.5833333333333326,2.166666666666665,2.0,0.2782426230090528,0.0695606557522632
WLD,council_long,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,council_long,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,liquidity_sweep_reversal,8.0,1,1,0,0,1.0,1.166666666666664,1.166666666666664,1.166666666666664,0.0,0.1010667951734364,0.1010667951734364
ALL,liquidity_sweep_reversal,8.0,1,1,0,0,1.0,1.166666666666664,1.166666666666664,1.166666666666664,0.0,0.1010667951734364,0.1010667951734364
WLD,momentum_continuation,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,momentum_continuation,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,pullback_reclaim,8.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.2235972821072345,-0.11179864105361725
ALL,pullback_reclaim,8.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.2235972821072345,-0.11179864105361725
WLD,range_reclaim,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,8.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,vwap_reclaim,8.0,4,2,2,0,0.5,2.3333333333333304,0.5833333333333326,2.166666666666665,2.0,0.31799156915320315,0.07949789228830079
ALL,vwap_reclaim,8.0,4,2,2,0,0.5,2.3333333333333304,0.5833333333333326,2.166666666666665,2.0,0.31799156915320315,0.07949789228830079
WLD,council_long,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,council_long,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,liquidity_sweep_reversal,9.0,1,1,0,0,1.0,1.166666666666664,1.166666666666664,1.166666666666664,0.0,0.11370014457011596,0.11370014457011596
ALL,liquidity_sweep_reversal,9.0,1,1,0,0,1.0,1.166666666666664,1.166666666666664,1.166666666666664,0.0,0.11370014457011596,0.11370014457011596
WLD,momentum_continuation,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,momentum_continuation,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,pullback_reclaim,9.0,2,1,1,0,0.5,2.166666666666668,1.083333333333334,3.166666666666668,1.0,0.1865384868025166,0.0932692434012583
ALL,pullback_reclaim,9.0,2,1,1,0,0.5,2.166666666666668,1.083333333333334,3.166666666666668,1.0,0.1865384868025166,0.0932692434012583
WLD,range_reclaim,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,9.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,vwap_reclaim,9.0,3,1,2,0,0.3333333333333333,1.1666666666666665,0.38888888888888884,1.5833333333333333,2.0,0.21218277991504042,0.07072759330501348
ALL,vwap_reclaim,9.0,3,1,2,0,0.3333333333333333,1.1666666666666665,0.38888888888888884,1.5833333333333333,2.0,0.21218277991504042,0.07072759330501348
WLD,council_long,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,council_long,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,liquidity_sweep_reversal,10.0,1,1,0,0,1.0,1.166666666666664,1.166666666666664,1.166666666666664,0.0,0.1263334939667955,0.1263334939667955
ALL,liquidity_sweep_reversal,10.0,1,1,0,0,1.0,1.166666666666664,1.166666666666664,1.166666666666664,0.0,0.1263334939667955,0.1263334939667955
WLD,momentum_continuation,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,momentum_continuation,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,pullback_reclaim,10.0,2,1,1,0,0.5,2.166666666666668,1.083333333333334,3.166666666666668,1.0,0.20726498533612958,0.10363249266806479
ALL,pullback_reclaim,10.0,2,1,1,0,0.5,2.166666666666668,1.083333333333334,3.166666666666668,1.0,0.20726498533612958,0.10363249266806479
WLD,range_reclaim,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,vwap_reclaim,10.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.17326941389587328,-0.08663470694793664
ALL,vwap_reclaim,10.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.17326941389587328,-0.08663470694793664
